"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"ERIE  NWR_SUGAR-2_1",6,1,41.626677,-79.960234,"ERIE  NWR_SUGAR-2",1
"ERIE  NWR_SUGAR-2_2",6,1,41.631147,-79.959598,"ERIE  NWR_SUGAR-2",2
"ERIE  NWR_SUGAR-2_3",2,1,41.630013,-79.953638,"ERIE  NWR_SUGAR-2",3
"ERIE  NWR_SUGAR-2_4",9,1,41.624469,-79.955108,"ERIE  NWR_SUGAR-2",4
"ERIE  NWR_SUGAR-2_5",6,1,41.619156,-79.956262,"ERIE  NWR_SUGAR-2",5
"ERIE  NWR_SUGAR-2_6",3,1,41.613917,-79.957654,"ERIE  NWR_SUGAR-2",6
"ERIE  NWR_SUGAR-2_7",1,1,41.608017,-79.956537,"ERIE  NWR_SUGAR-2",7
"ERIE  NWR_SUGAR-2_8",3,1,41.602969,-79.954207,"ERIE  NWR_SUGAR-2",8
"ERIE  NWR_SUGAR-2_9",0,0,41.596653,-79.953925,"ERIE  NWR_SUGAR-2",9
"ERIE  NWR_SUGAR-3_1",8,1,41.613905,-79.949349,"ERIE  NWR_SUGAR-3",1
"ERIE  NWR_SUGAR-3_2",14,1,41.614719,-79.957617,"ERIE  NWR_SUGAR-3",2
"ERIE  NWR_SUGAR-3_3",10,1,41.618127,-79.962016,"ERIE  NWR_SUGAR-3",3
"ERIE  NWR_SUGAR-3_4",6,1,41.618426,-79.969225,"ERIE  NWR_SUGAR-3",4
"ERIE  NWR_SUGAR-3_5",1,1,41.615771,-79.967419,"ERIE  NWR_SUGAR-3",5
"ERIE  NWR_SUGAR-3_6",0,0,41.61069,-79.967308,"ERIE  NWR_SUGAR-3",6
"ERIE  NWR_SUGAR-3_7",1,1,41.60506,-79.967277,"ERIE  NWR_SUGAR-3",7
"ERIE  NWR_SUGAR-3_8",5,1,41.599259,-79.967262,"ERIE  NWR_SUGAR-3",8
"ERIE  NWR_SUGAR-4_1",8,1,41.57444,-79.974818,"ERIE  NWR_SUGAR-4",1
"ERIE  NWR_SUGAR-4_2",12,1,41.580031,-79.977501,"ERIE  NWR_SUGAR-4",2
"ERIE  NWR_SUGAR-4_3",3,1,41.58514,-79.977792,"ERIE  NWR_SUGAR-4",3
"ERIE  NWR_SUGAR-4_4",13,1,41.590554,-79.975859,"ERIE  NWR_SUGAR-4",4
"ERIE  NWR_SUGAR-4_5",9,1,41.596344,-79.975648,"ERIE  NWR_SUGAR-4",5
"ERIE  NWR_SUGAR-4_6",5,1,41.591633,-79.975602,"ERIE  NWR_SUGAR-4",6
"ERIE  NWR_SUGAR-4_7",8,1,41.588078,-79.969912,"ERIE  NWR_SUGAR-4",7
"ERIE  NWR_SUGAR-5_1",1,1,41.567977,-79.986399,"ERIE  NWR_SUGAR-5",1
"ERIE  NWR_SUGAR-5_2",2,1,41.572827,-79.990953,"ERIE  NWR_SUGAR-5",2
